,id,population_mean,region,district,year
14959,878829661,35,43,502545,2020
20030,878804527,6,43,502545,2020
28044,878829663,62,43,502545,2020
34551,878829658,29,43,502545,2020
42249,878785548,56,43,502545,2020
51797,878902446,2515,43,502545,2020
3562,831508557,9,43,502839,2019
8127,831392150,13,43,502839,2019
17133,831487077,8,43,502839,2019
25852,831423479,-2,43,502839,2019
30994,831444741,3,43,502839,2019
36264,831465716,7,43,502839,2019
41408,831388637,5,43,502839,2019
48246,831388400,740,43,502839,2019
5874,878902448,13,43,502839,2020
9370,878797761,15,43,502839,2020
14782,878805540,12,43,502839,2020
23837,878792015,-4,43,502839,2020
30127,878794692,-1,43,502839,2020
34552,878829666,9,43,502839,2020
43345,878792217,3,43,502839,2020
49233,878788535,743,43,502839,2020
4050,831487082,5,43,503142,2019
10509,831487084,14,43,503142,2019
13396,831395854,16,43,503142,2019
23609,831465721,3,43,503142,2019
32417,831423483,1,43,503142,2019
36308,831487081,8,43,503142,2019
40758,831398519,-2,43,503142,2019
49859,831487087,590,43,503142,2019
1073,878853933,3,43,503142,2020
12409,878902456,20,43,503142,2020
18997,878902457,22,43,503142,2020
21519,878829668,0,43,503142,2020
29069,878802054,-2,43,503142,2020
38657,878902454,3,43,503142,2020
41253,878829671,-2,43,503142,2020
51537,878878243,588,43,503142,2020
1428,831401972,12,43,503304,2019
10224,831423494,30,43,503304,2019
15953,831508571,22,43,503304,2019
21360,831393548,-5,43,503304,2019
29065,831508573,3,43,503304,2019
33931,831380492,7,43,503304,2019
43038,831423496,8,43,503304,2019
49860,831487094,873,43,503304,2019
1862,878829672,8,43,503304,2020
12410,878902461,25,43,503304,2020
18998,878902462,23,43,503304,2020
20721,878853937,-1,43,503304,2020
30347,878803598,1,43,503304,2020
38658,878902460,7,43,503304,2020
45259,878902464,2,43,503304,2020
49104,878787955,874,43,503304,2020
3011,831492911,4,43,503410,2019
10824,831471343,5,43,503410,2019
16297,831492913,7,43,503410,2019
22813,831492912,0,43,503410,2019
30582,831471344,-2,43,503410,2019
39205,831348253,4,43,503410,2019
43583,831450518,-2,43,503410,2019
48535,831408333,183,43,503410,2019
1667,878805549,9,43,503410,2020
7629,878853944,12,43,503410,2020
16244,878802383,6,43,503410,2020
24136,878789782,-5,43,503410,2020
30415,878788632,1,43,503410,2020
37134,878733117,4,43,503410,2020
40421,878853945,6,43,503410,2020
50313,878799149,188,43,503410,2020
2846,831508594,101,43,503444,2019
9364,831508595,158,43,503444,2019
17865,831444773,224,43,503444,2019
23332,831423515,-6,43,503444,2019
29068,831508597,-72,43,503444,2019
35192,831508593,95,43,503444,2019
45323,831487117,-66,43,503444,2019
48679,831508599,9784,43,503444,2019
5594,878878248,123,43,503444,2020
12512,878902471,171,43,503444,2020
15069,878829679,235,43,503444,2020
24316,878795071,-23,43,503444,2020
28976,878788450,-87,43,503444,2020
33741,878853947,100,43,503444,2020
40422,878853948,-64,43,503444,2020
49911,878802205,9692,43,503444,2020
4051,831487129,10,43,503622,2019
10987,831465768,22,43,503622,2019
13132,831391389,14,43,503622,2019
23333,831423528,-4,43,503622,2019
31139,831444787,4,43,503622,2019
36312,831487127,6,43,503622,2019
44230,831444786,8,43,503622,2019
48683,831508616,870,43,503622,2019
2748,878786263,12,43,503622,2020
10438,878787341,23,43,503622,2020
17499,878793103,19,43,503622,2020
20342,878805146,-3,43,503622,2020
27886,878805556,1,43,503622,2020
33742,878853951,9,43,503622,2020
41410,878829684,4,43,503622,2020
49486,878800608,870,43,503622,2020
4052,831487131,23,43,503657,2019
10988,831465771,88,43,503657,2019
15956,831508617,130,43,503657,2019
23661,831487132,15,43,503657,2019
30292,831487133,-27,43,503657,2019
34943,831380588,38,43,503657,2019
42157,831508618,-42,43,503657,2019
50345,831465773,3241,43,503657,2019
3093,878798708,30,43,503657,2020
10559,878784066,69,43,503657,2020
16762,878796218,97,43,503657,2020
20864,878853957,-1,43,503657,2020
30862,878789806,-29,43,503657,2020
37441,878733139,29,43,503657,2020
41069,878805559,-28,43,503657,2020
50364,878784822,3229,43,503657,2020
1788,831400548,12,43,503738,2019
11780,831444798,27,43,503738,2019
14421,831400793,14,43,503738,2019
21354,831392161,-2,43,503738,2019
30474,831423537,11,43,503738,2019
32911,831380606,10,43,503738,2019
42158,831508623,13,43,503738,2019
48684,831508625,1188,43,503738,2019
1218,878853961,8,43,503738,2020
8557,878829689,28,43,503738,2020
15898,878792388,28,43,503738,2020
24260,878788114,5,43,503738,2020
27887,878805562,5,43,503738,2020
33882,878853960,13,43,503738,2020
42342,878784738,0,43,503738,2020
47574,878805565,1194,43,503738,2020
1234,831397535,6,43,503916,2019
10603,831455512,18,43,503916,2019
13962,831388512,14,43,503916,2019
24845,831476449,6,43,503916,2019
26958,831413328,10,43,503916,2019
32933,831358837,12,43,503916,2019
43063,831434235,4,43,503916,2019
47827,831401644,591,43,503916,2019
1219,878853968,4,43,503916,2020
8558,878829693,20,43,503916,2020
17064,878795236,23,43,503916,2020
22874,878792450,2,43,503916,2020
27441,878853971,-1,43,503916,2020
36533,878733154,6,43,503916,2020
45360,878902480,-3,43,503916,2020
47095,878853972,604,43,503916,2020
744,831389649,0,43,503941,2019
7983,831402182,0,43,503941,2019
13133,831391394,0,43,503941,2019
24394,831444758,0,43,503941,2019
29945,831423505,0,43,503941,2019
34470,831380516,0,43,503941,2019
43039,831423504,0,43,503941,2019
47120,831398556,0,43,503941,2019
1989,878829696,0,43,503941,2020
10058,878795630,0,43,503941,2020
17669,878802661,0,43,503941,2020
21658,878829697,0,43,503941,2020
31861,878878262,0,43,503941,2020
36534,878733163,0,43,503941,2020
43509,878794065,0,43,503941,2020
51538,878878263,0,43,503941,2020
2300,831401483,19,43,504246,2019
8620,831388646,15,43,504246,2019
14386,831392358,9,43,504246,2019
25084,831444813,-13,43,504246,2019
28882,831393068,-7,43,504246,2019
36490,831423548,6,43,504246,2019
44475,831487149,6,43,504246,2019
50511,831465795,756,43,504246,2019
6195,878902486,10,43,504246,2020
12841,878902487,9,43,504246,2020
19049,878878265,16,43,504246,2020
21659,878829704,-4,43,504246,2020
27442,878853976,-11,43,504246,2020
